ID,label
35057,1
41573,0
44029,0
6462,1
17533,0
22432,0
37471,1
26858,0
37282,1
21448,0
40690,0
6549,1
43786,0
48990,0
42091,1
11233,1
43987,0
21088,0
215,0
41431,1
33902,1
3134,1
14056,0
52161,1
34273,0
14272,0
32980,0
1361,1
11802,0
19087,1
37943,0
17592,0
30004,1
31104,0
40516,1
5992,0
33625,0
15472,1
9346,1
21748,0
40990,0
34564,1
14106,0
27557,1
4887,1
40440,0
14169,0
26294,0
7605,1
43909,1
43175,0
34886,0
10495,0
46100,1
49572,1
28508,1
11948,0
4950,0
1499,1
21829,0
4892,0
10712,1
13918,0
45646,1
46556,0
48592,0
40038,1
19312,0
3254,1
35161,0
12384,0
51482,1
7085,1
1316,1
21934,1
40140,1
19953,0
9791,0
42160,1
47609,1
2558,0
20131,0
20752,1
35556,1
3157,1
3816,0
25705,0
21167,0
43378,1
10428,0
41441,1
2713,1
24519,1
48666,1
20443,1
18324,1
15441,0
3020,1
5350,0
24709,0
49810,0
40435,0
29947,0
12276,0
17204,0
11864,1
24824,1
17532,1
5885,1
24005,1
43635,0
45232,1
48030,1
1772,1
43785,1
3862,1
47567,0
27028,1
2936,1
15819,0
50282,0
9334,0
25240,1
49905,0
38878,1
7244,0
29128,0
37264,0
46500,0
38672,0
27906,1
6729,1
470,1
44442,1
5911,1
22513,1
9293,0
39184,0
6042,0
20694,0
2028,0
21870,0
38491,1
10390,1
20017,0
3549,1
26557,1
26148,1
52109,1
32507,0
137,0
3281,1
27347,1
35821,1
26889,1
2679,0
38881,0
14384,1
33533,1
15945,1
46836,0
17210,1
46449,1
44438,1
28307,1
45454,1
19774,0
24373,0
17201,0
36562,1
6526,0
36780,0
7870,1
9003,0
43717,0
1732,0
15397,0
46140,1
49563,1
33616,1
40261,1
49921,0
5694,1
48020,0
47508,1
19594,1
4446,1
37787,1
19375,1
27894,0
14967,1
16305,0
9854,1
21726,0
44531,0
33392,0
19931,0
31352,0
3870,1
29123,0
1803,0
32205,0
18943,1
29668,0
40600,0
8088,1
11632,0
6640,1
12626,0
1545,1
1004,0
47527,1
33136,1
36132,0
51611,1
10111,1
45900,1
24389,0
40475,1
19067,0
16685,0
811,1
30596,1
25939,1
21817,1
13306,1
8711,1
33849,1
48087,1
51439,0
38251,0
42121,0
306,1
11538,1
19011,0
11371,0
45936,1
6587,0
29871,0
24047,1
689,0
15496,1
16393,1
12853,0
11049,0
20256,1
40342,1
16511,1
32008,0
52391,0
2304,1
47660,1
24222,1
8457,0
32094,1
10592,1
37479,0
22557,1
48805,1
16361,1
20409,1
49188,0
6232,1
24689,1
49264,0
46170,1
22659,0
10653,1
28509,0
40767,1
42496,1
1684,1
20699,1
26245,0
41738,0
13979,0
31700,1
37940,1
13465,1
22836,1
33308,1
51120,0
26091,1
33323,1
44524,1
7504,0
36901,1
6443,1
43346,0
23899,1
15422,1
50759,1
13310,1
20619,1
10641,0
47289,0
4484,0
4682,0
22860,1
21852,0
25077,0
32829,0
31369,0
18668,0
26679,1
22932,1
6176,0
7936,0
37612,0
18420,1
38679,1
5944,0
46708,1
3450,1
14572,0
17248,0
28879,0
28264,0
18258,0
30513,1
5633,0
9957,0
47840,1
47526,0
33090,1
36854,1
26031,0
7479,1
22274,0
19078,1
27200,1
46980,1
50756,1
47544,1
42140,0
20590,1
32229,1
39769,1
50742,1
20267,1
49405,1
9944,1
9026,1
13142,0
27317,0
38583,1
24083,1
29263,1
43025,1
28470,0
21814,0
9359,1
46476,0
12800,1
48951,0
40978,0
46624,1
4958,1
19133,1
17336,0
3557,0
2507,1
52004,1
52427,1
41815,1
10905,0
1650,1
5842,1
41639,0
23874,1
49770,0
32148,1
51317,1
18976,0
24865,1
14767,0
11057,0
15125,1
45357,1
26883,0
44954,1
24600,1
25716,0
26861,0
596,0
12181,0
40558,0
7153,0
45328,0
740,1
35024,1
19582,1
40324,0
29281,1
24066,1
44392,0
9323,1
38832,1
7948,1
12378,0
18557,1
31538,0
16212,0
22758,1
30457,1
18496,0
38145,0
41230,1
10183,1
20052,1
12100,0
11801,0
6368,0
14829,0
6725,0
20555,1
39491,1
20713,0
34066,1
18067,0
45276,0
1100,0
45601,1
11723,1
51091,0
25339,0
24099,1
19321,1
10288,0
45226,0
26471,1
25183,0
23626,1
48739,1
8488,0
47204,1
29961,0
20535,1
50456,1
3404,1
7818,1
19501,1
20427,0
27116,0
38109,1
51810,0
17729,1
16074,1
10077,0
3010,1
14985,1
46165,1
7174,0
24582,0
8502,1
3131,0
49582,0
17723,0
20096,1
41310,0
11253,0
21439,0
46513,1
20441,1
34223,0
41290,1
52488,0
12496,0
23648,0
16959,1
21922,1
50138,0
35892,0
48832,1
27541,0
50992,0
26561,0
32657,0
40603,0
44938,1
50027,1
30339,1
6513,0
1590,1
36933,1
34751,0
50783,0
10007,0
8383,0
20655,0
8471,0
15757,1
7094,0
18977,1
48922,0
27622,0
4420,0
5610,0
6001,1
10154,1
46573,1
37916,1
33199,1
13826,1
5008,0
47685,0
46984,1
12718,1
34567,1
48441,1
16341,1
26734,1
20893,0
10565,0
23586,1
44833,0
21191,0
40215,1
50013,0
40551,0
1817,1
6731,1
18117,1
50007,0
21427,1
39497,1
23724,1
38293,1
34761,0
38648,1
3652,0
16184,0
32908,1
47514,1
23940,1
48023,1
48762,1
31875,1
7823,0
40029,1
37727,0
5965,0
1836,1
34389,1
332,0
50945,0
21220,0
46722,0
8421,0
39608,1
41338,1
1212,1
1679,0
1521,0
3546,1
1248,1
8653,1
5246,0
48747,1
89,0
43052,0
44407,0
24741,1
37040,1
51215,1
10283,1
7937,0
12244,1
46689,0
39668,1
20480,1
7261,0
24304,0
31425,0
45590,1
34180,0
48602,0
10361,0
2653,0
37874,0
7124,0
29041,1
7571,1
4867,1
1067,1
24735,0
51502,1
47007,1
13154,1
44327,0
24338,0
6373,1
36047,0
20973,0
5608,0
11420,0
52364,0
9063,1
34281,1
33288,1
33051,1
25105,0
14841,0
20821,1
38686,1
38779,1
6674,1
4794,0
24557,1
162,1
28948,1
42851,1
35795,1
44071,1
1625,1
9250,1
8905,0
20531,1
6210,1
26854,1
36416,1
48052,1
2148,1
18127,1
21811,1
43688,0
46457,1
15312,1
5025,1
3475,1
4649,0
34767,0
17837,1
8520,0
27279,1
15233,0
4601,0
28110,1
26740,1
705,0
35128,0
16636,0
40505,1
38443,1
32463,1
17493,0
38791,0
27718,0
39528,0
39731,0
3133,1
16065,1
2990,1
11658,1
16029,0
36453,0
1507,1
44139,1
49304,0
34225,1
13202,0
2179,1
27680,1
7350,1
6222,1
28371,1
21492,0
6231,0
5318,1
12044,1
12117,1
2754,1
42754,1
2227,0
50831,1
24695,0
30966,0
2721,0
24370,1
20375,1
15396,1
47897,1
21382,0
38378,0
16111,1
20076,0
34925,0
34890,1
43306,0
52467,0
38394,0
22120,1
42969,1
9395,1
43914,0
28239,0
45425,1
31712,1
43081,0
15868,0
44134,1
35920,0
49580,1
4470,0
16556,0
2413,0
18475,0
15036,0
39449,1
25260,1
28783,0
33031,1
20334,1
49930,1
16927,0
52500,0
10654,1
34608,1
52052,1
36278,1
9604,0
17323,1
36526,0
6195,1
12694,0
9390,0
29304,0
10983,1
156,1
28871,1
11477,1
25469,0
144,0
31630,1
4045,1
13948,1
34989,0
47906,1
7433,0
9618,0
23417,1
13139,1
36524,1
22775,1
22116,1
6596,1
38460,1
12475,1
23419,0
18471,1
14437,0
39885,1
27074,0
30972,1
10098,0
20296,0
22315,1
519,1
22246,1
28630,1
18945,0
21675,1
44409,0
21339,1
22150,0
45909,1
20258,1
50991,1
50886,0
39460,1
45014,1
21758,1
15231,1
40652,0
52301,0
10706,0
33949,1
35144,0
4165,1
16079,1
33749,0
33652,0
7763,0
46626,1
13263,0
28575,0
45771,0
16154,0
2673,0
38746,1
32383,0
48194,1
46353,1
26942,1
31399,1
12981,1
48606,0
38667,1
15918,1
44615,1
44937,1
44063,0
20879,1
35634,0
29040,1
49085,1
15173,1
49941,0
15271,1
12431,0
32851,1
25079,1
50289,0
47340,1
32397,0
34772,1
52140,1
48411,1
10128,0
20188,1
23752,1
4862,1
49364,1
762,0
6418,1
46082,1
23731,0
11513,0
26580,0
6154,0
14090,1
40461,1
17850,0
37884,1
35153,1
43477,1
49483,0
10811,1
3860,0
10051,1
18793,0
39328,0
52026,0
37743,0
16231,0
38535,0
15213,1
41011,1
15675,1
23693,1
21932,0
7515,0
37134,0
41589,1
41643,0
10904,1
23636,0
23539,0
36131,0
29598,1
8799,1
41610,1
8623,0
32105,0
4532,0
48597,0
10131,1
15793,0
1699,0
9842,1
27831,1
51468,0
10709,0
37964,1
3309,1
48948,0
43134,0
37682,1
15766,0
47281,1
6288,0
23690,1
35285,0
15,0
4450,0
192,0
32946,1
782,0
39776,0
6628,0
29868,1
8860,0
2363,0
43947,0
28381,1
26074,1
22766,0
51480,1
52272,1
37419,0
32627,1
30416,0
13941,0
32547,1
44091,1
24723,1
11782,1
14420,1
1776,1
510,1
24114,1
17773,0
8273,1
11165,1
41925,0
33266,0
42854,1
23951,0
933,1
4804,1
1187,1
45046,0
35551,1
45727,1
47907,1
43248,1
10814,1
12090,0
24738,1
48968,0
118,1
29674,0
30224,0
45777,1
30829,1
7563,0
24686,1
16877,1
52470,1
14906,0
39245,0
15981,0
13077,1
43521,0
51804,1
33956,0
48733,1
11045,1
18739,0
619,1
13228,1
9727,1
21176,1
37938,0
27796,0
8910,0
47063,0
18637,1
39318,1
45123,1
30520,0
3424,0
8970,0
32390,1
32951,0
13564,1
46842,1
11401,1
24711,0
25424,0
29463,0
27418,0
30139,1
3797,0
21092,0
2717,0
22802,1
15909,0
11773,1
29681,0
42856,1
29585,0
41036,1
19863,1
28253,1
17896,1
8544,1
47458,0
26888,1
25162,0
15256,1
2885,1
9410,1
17334,1
26759,0
13379,0
46620,0
35380,1
18611,1
31514,1
42480,0
45881,0
51768,1
24056,0
42462,1
32034,0
44314,1
24927,0
19250,0
51878,1
27652,1
43959,1
2820,1
45116,0
49096,1
31394,0
51329,0
2805,0
32381,0
51366,1
34262,0
3190,0
49609,0
49384,1
27743,1
33838,0
52155,0
14464,1
21186,1
32035,0
2372,1
43344,1
10055,1
2813,0
40918,0
20202,1
31784,1
9341,1
19347,1
18129,1
48114,1
48116,1
31602,0
21810,0
52548,1
1712,0
17330,1
50764,0
30459,1
21659,0
34650,1
21621,1
22945,1
25413,1
28927,1
52168,1
49169,1
51937,0
5921,1
22332,1
1081,1
24631,1
31643,0
34263,1
4761,1
29008,0
2873,1
12983,0
40190,1
8820,1
1624,0
3763,0
4183,0
22523,1
51743,0
41084,0
50877,1
47030,1
4390,1
38743,0
40055,1
11486,1
25875,1
28447,0
6988,0
16512,1
32175,1
4919,1
30124,1
45009,1
31837,1
16109,1
61,1
9884,1
11341,1
19552,1
24710,0
21250,0
3004,0
28035,0
19744,1
51002,1
29694,0
33659,0
247,1
16073,1
15503,1
32789,0
47079,0
51597,1
22202,1
35346,1
12428,0
15704,1
2938,1
40483,1
26760,1
50567,0
44259,1
11126,0
30667,0
51242,0
25571,1
41518,1
45488,1
52147,1
45044,1
35211,1
35979,1
31044,1
22706,1
46636,1
5054,1
29785,0
16401,1
24602,0
3994,0
48984,1
46289,1
3276,1
28365,1
23350,1
23665,0
39396,0
565,1
3854,1
30639,0
28601,0
20551,1
6892,0
9533,0
42036,0
49462,0
32574,1
31919,1
29840,1
42044,0
29607,1
45730,0
41050,0
32216,1
15215,0
16039,1
29362,0
48500,0
16458,1
32583,1
46008,0
17212,0
5956,1
4695,0
31841,0
10533,1
24680,1
42773,0
41797,1
7884,1
28809,1
20107,1
30262,0
30492,1
37007,0
9657,0
40835,1
42595,1
23856,1
14022,1
38596,1
11239,1
50805,0
35039,1
21944,0
46946,1
28360,1
8255,1
42726,1
20670,0
44721,0
10127,0
6777,1
38421,1
1014,1
1918,1
20730,1
32564,1
35295,0
33602,0
2741,1
22965,1
18157,0
43166,1
32135,1
6205,0
618,1
28375,1
22312,0
32151,1
47127,0
30702,0
41245,1
13442,0
32024,0
14028,1
14004,1
20539,1
25,0
47505,0
21005,1
48274,1
27029,0
25681,1
3898,0
11198,1
27769,0
35006,0
36440,0
31470,0
7643,0
38029,1
38814,0
23023,1
23288,1
23820,0
33325,1
23729,0
4414,0
45256,1
18600,1
30347,0
24651,1
47190,0
26383,0
18132,0
49636,1
43952,1
33264,0
40995,1
44771,1
30815,0
10129,0
20023,0
30097,1
39393,1
9456,1
49784,0
48225,1
48124,0
51039,0
36647,1
19712,1
32896,0
45222,0
45675,0
11361,1
22316,1
52497,0
40581,1
27375,0
51632,0
39830,1
47816,1
16386,0
48198,0
21730,1
26969,1
39564,1
18956,1
15809,1
49176,0
13497,1
50844,1
3867,0
25046,1
11662,0
17427,1
40737,1
31660,0
25520,1
51270,1
33707,0
32338,1
27793,1
6679,0
942,1
36909,1
47582,0
42673,0
40734,0
32847,1
30671,1
15206,1
23210,0
42435,1
49351,0
15786,0
52043,0
9143,1
44722,1
44393,1
1876,1
22088,1
27209,1
2694,0
43235,0
42694,0
14580,0
32251,1
15929,0
24356,1
43655,0
4951,1
40033,1
14987,0
51996,1
12662,0
7034,0
46559,1
18953,1
